Designator,Footprint,Quantity,Value,LCSC Part #
"1.0_U1, 1.0_U10, 1.0_U11, 1.0_U12, 1.0_U13, 1.0_U14, 1.0_U15, 1.0_U16, 1.0_U17, 1.0_U18, 1.0_U19, 1.0_U2, 1.0_U20, 1.0_U21, 1.0_U22, 1.0_U23, 1.0_U24, 1.0_U25, 1.0_U26, 1.0_U27, 1.0_U28, 1.0_U29, 1.0_U3, 1.0_U30, 1.0_U31, 1.0_U32, 1.0_U33, 1.0_U34, 1.0_U35, 1.0_U36, 1.0_U37, 1.0_U38, 1.0_U39, 1.0_U4, 1.0_U40, 1.0_U41, 1.0_U42, 1.0_U43, 1.0_U44, 1.0_U45, 1.0_U46, 1.0_U47, 1.0_U48, 1.0_U5, 1.0_U6, 1.0_U7, 1.0_U8, 1.0_U9",SW_Hotswap_Kailh_MX_1.00u,48,~,
"1.25_U1, 1.25_U2, 1.25_U3, 1.25_U4, 1.25_U5, 1.25_U6, 1.25_U7, 1.25_U8",SW_Hotswap_Kailh_MX_1.25u,8,~,
1.5_U1,SW_Hotswap_Kailh_MX_1.50u,1,~,
1.75_U1,SW_Hotswap_Kailh_MX_1.75u,1,~,
2.0_U1,SW_Hotswap_Kailh_MX_2.00u,1,~,
2.75_U1,SW_Hotswap_Kailh_MX_2.75u,1,~,
6.25_U1,SW_Hotswap_Kailh_MX_6.25u,1,~,
"C1, C2, C5, C6, C7, C8",0402,6,100nF,
"C10, C11",0805,2,4.7uF,
C12,0402,1,10nF,
C3,0805,1,10uF,
C4,0805,1,22uF,
C9,0805,1,1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D7, D8, D9",D_SOD-123F,62,D_Small,
D63,D_SOD-123F,1,D_Schottky,
ENTER_U1,SW_Hotswap_Kailh_MX_ISOEnter,1,~,
F1,0805,1,Polyfuse,
J1,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0_16P,
"J2, J3",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
R1,0402,1,10k,
"R2, R3",0402,2,5.1k,
S1,STAB_MX_P_6.25u,1,MX_stab,
S2,STAB_MX_P_ISO,1,MX_stab,
S3,STAB_MX_P_2u,1,MX_stab,
S4,STAB_MX_2.75u,1,MX_stab,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,
U2,SOT-89-3_Handsoldering,1,AZ1117C-3.3,
U3,SOT-23-6,1,USBLC6-2SC6,
