Designator,Mid X,Mid Y,Rotation,Layer
1.0_U1,69.885,-88.615,0.0,top
1.0_U10,241.335,-88.615,0.0,top
1.0_U11,260.385,-88.615,0.0,top
1.0_U12,279.435,-88.615,180.0,top
1.0_U13,298.485,-88.615,180.0,top
1.0_U14,98.46,-107.665,0.0,top
1.0_U15,117.51,-107.665,0.0,top
1.0_U16,136.56,-107.665,0.0,top
1.0_U17,155.61,-107.665,0.0,top
1.0_U18,174.66,-107.665,0.0,top
1.0_U19,193.71,-107.665,0.0,top
1.0_U2,88.935,-88.615,0.0,top
1.0_U20,212.76,-107.665,0.0,top
1.0_U21,231.81,-107.665,0.0,top
1.0_U22,250.86,-107.665,0.0,top
1.0_U23,269.91,-107.665,0.0,top
1.0_U24,288.96,-107.665,0.0,top
1.0_U25,308.01,-107.665,0.0,top
1.0_U26,103.2225,-126.715,0.0,top
1.0_U27,122.2725,-126.715,0.0,top
1.0_U28,141.3225,-126.715,0.0,top
1.0_U29,160.3725,-126.715,0.0,top
1.0_U3,107.985,-88.615,0.0,top
1.0_U30,179.4225,-126.715,0.0,top
1.0_U31,198.4725,-126.715,0.0,top
1.0_U32,217.5225,-126.715,0.0,top
1.0_U33,236.5725,-126.715,0.0,top
1.0_U34,255.6225,-126.715,0.0,top
1.0_U35,274.6725,-126.715,0.0,top
1.0_U36,293.7225,-126.715,0.0,top
1.0_U37,312.7725,-126.715,0.0,top
1.0_U38,93.6975,-145.765,0.0,top
1.0_U39,112.7475,-145.765,0.0,top
1.0_U4,127.035,-88.615,0.0,top
1.0_U40,131.7975,-145.765,0.0,top
1.0_U41,150.8475,-145.765,0.0,top
1.0_U42,169.8975,-145.765,0.0,top
1.0_U43,188.9475,-145.765,0.0,top
1.0_U44,207.9975,-145.765,0.0,top
1.0_U45,227.0475,-145.765,0.0,top
1.0_U46,246.0975,-145.765,0.0,top
1.0_U47,265.1475,-145.765,0.0,top
1.0_U48,284.1975,-145.765,0.0,top
1.0_U5,146.085,-88.615,0.0,top
1.0_U6,165.135,-88.615,0.0,top
1.0_U7,184.185,-88.615,0.0,top
1.0_U8,203.235,-88.615,0.0,top
1.0_U9,222.285,-88.615,0.0,top
1.25_U1,72.26625,-145.765,0.0,top
1.25_U2,72.26625,-164.815,0.0,top
1.25_U3,96.07875,-164.815,0.0,top
1.25_U4,119.89125,-164.815,0.0,top
1.25_U5,262.76625,-164.815,0.0,top
1.25_U6,286.57875,-164.815,0.0,top
1.25_U7,310.39125,-164.815,0.0,top
1.25_U8,334.20375,-164.815,0.0,top
1.5_U1,74.6475,-107.665,0.0,top
1.75_U1,77.02875,-126.715,0.0,top
2.0_U1,327.06,-88.615,0.0,top
2.75_U1,319.91625,-145.765,0.0,top
6.25_U1,191.32875,-164.815,0.0,top
C1,340.75,-143.25,270.0,bottom
C10,305.05,-135.6,0.0,bottom
C11,308.75,-149.3,90.0,bottom
C12,300.15,-152.8,180.0,bottom
C2,339.45,-136.3675,90.0,bottom
C3,305.3,-84.25,180.0,bottom
C4,308.8,-80.75,90.0,bottom
C5,303.95,-152.6675,270.0,bottom
C6,294.95,-142.9,270.0,bottom
C7,307.05,-148.8675,90.0,bottom
C8,304.2825,-140.3,0.0,bottom
C9,300.15,-154.4,180.0,bottom
D1,73.11875,-92.4125,90.0,bottom
D10,244.56875,-92.4125,90.0,bottom
D11,263.61875,-92.4125,90.0,bottom
D12,269.875,-94.0,90.0,bottom
D13,289.35,-95.25,90.0,bottom
D14,330.29375,-92.075,90.0,bottom
D15,77.7875,-111.4625,90.0,bottom
D16,101.6,-111.4625,90.0,bottom
D17,120.65,-111.4625,90.0,bottom
D18,139.7,-111.575,90.0,bottom
D19,158.75,-111.575,90.0,bottom
D2,92.16875,-92.4125,90.0,bottom
D20,177.8,-111.4625,90.0,bottom
D21,196.85,-111.4625,90.0,bottom
D22,215.9,-111.4625,90.0,bottom
D23,234.95,-111.4625,90.0,bottom
D24,254.0,-111.4625,90.0,bottom
D25,273.05,-111.4625,90.0,bottom
D26,292.1,-111.4625,90.0,bottom
D27,311.15625,-111.575,90.0,bottom
D28,80.2625,-130.96875,90.0,bottom
D29,106.45625,-130.96875,90.0,bottom
D3,111.21875,-92.4125,90.0,bottom
D30,125.50625,-130.96875,90.0,bottom
D31,144.55625,-130.96875,90.0,bottom
D32,163.60625,-130.96875,90.0,bottom
D33,182.65625,-130.96875,90.0,bottom
D34,201.70625,-130.96875,90.0,bottom
D35,220.75625,-130.96875,90.0,bottom
D36,239.80625,-130.96875,90.0,bottom
D37,258.85625,-130.96875,90.0,bottom
D38,277.90625,-130.96875,90.0,bottom
D39,296.95625,-130.96875,90.0,bottom
D4,130.26875,-92.4125,90.0,bottom
D40,316.00625,-130.96875,90.0,bottom
D41,337.4375,-120.65,90.0,bottom
D42,75.5,-150.01875,90.0,bottom
D43,96.93125,-150.01875,90.0,bottom
D44,115.98125,-149.225,90.0,bottom
D45,135.03125,-149.225,90.0,bottom
D46,154.08125,-149.225,90.0,bottom
D47,177.8,-146.05,90.0,bottom
D48,196.85,-146.05,90.0,bottom
D49,215.9,-146.05,90.0,bottom
D5,149.31875,-92.4125,90.0,bottom
D50,234.95,-146.05,90.0,bottom
D51,254.0,-146.05,90.0,bottom
D52,273.05,-145.25625,90.0,bottom
D53,285.75,-136.525,180.0,bottom
D54,327.81875,-145.25625,90.0,bottom
D55,75.5,-169.40625,90.0,bottom
D56,99.3125,-169.40625,90.0,bottom
D57,123.125,-169.40625,90.0,bottom
D58,194.5625,-169.40625,90.0,bottom
D59,266.0,-169.40625,90.0,bottom
D6,168.36875,-92.4125,90.0,bottom
D60,289.8125,-169.40625,90.0,bottom
D61,313.625,-169.40625,90.0,bottom
D62,337.4375,-169.40625,90.0,bottom
D63,297.5,-81.0,90.0,bottom
D7,187.41875,-92.4125,90.0,bottom
D8,206.46875,-92.4125,90.0,bottom
D9,225.51875,-92.4125,90.0,bottom
ENTER_U1,334.20375,-117.19,0.0,top
F1,292.5,-85.25,270.0,bottom
J1,289.142945,-78.114079,180.0,bottom
J2,343.76,-143.5,0.0,bottom
J3,343.76,-136.9,180.0,bottom
R1,341.2,-136.3675,90.0,bottom
R2,282.192389,-79.250291,90.0,bottom
R3,282.192389,-76.750291,270.0,bottom
U1,301.15,-146.2,0.0,bottom
U2,303.3,-80.75,180.0,bottom
U3,289.25,-85.75,90.0,bottom
